epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9807.61,1.19115,0.85947,1.23909,0.9362,0.89241,0.93767,0.71566,0.91059,2.27981,0.95666,0.00492625,0.00492625,0.00492625
43,10058.7,1.20697,0.86632,1.24748,0.93889,0.896,0.93923,0.7182,0.90911,2.24321,0.95449,0.0048025,0.0048025,0.0048025
44,10312.9,1.19129,0.85026,1.23898,0.93158,0.89953,0.94053,0.71901,0.90918,2.41154,0.95391,0.00467875,0.00467875,0.00467875
45,10554.9,1.18665,0.84003,1.23602,0.93426,0.89412,0.93924,0.72086,0.90825,2.53002,0.95235,0.004555,0.004555,0.004555
46,10804.1,1.18557,0.83136,1.22931,0.93572,0.90059,0.94094,0.72201,0.90978,2.54395,0.9534,0.00443125,0.00443125,0.00443125
47,11060.2,1.16553,0.81531,1.22255,0.9307,0.89753,0.94099,0.7219,0.90923,2.59731,0.95308,0.0043075,0.0043075,0.0043075
48,11308.9,1.16472,0.8119,1.22281,0.93457,0.89943,0.94397,0.72436,0.90869,2.47681,0.95336,0.00418375,0.00418375,0.00418375
49,11552.1,1.16952,0.81572,1.22769,0.93953,0.9025,0.94365,0.72667,0.90916,2.48846,0.95384,0.00406,0.00406,0.00406
50,11793.1,1.16036,0.79825,1.22234,0.93706,0.90337,0.94451,0.72885,0.90845,2.48163,0.95412,0.00393625,0.00393625,0.00393625
51,12035.6,1.15159,0.79041,1.21304,0.94064,0.90522,0.94619,0.7305,0.90789,2.45908,0.95314,0.0038125,0.0038125,0.0038125
52,12270.6,1.14245,0.77807,1.20685,0.94117,0.90522,0.94884,0.73001,0.90813,2.45859,0.95325,0.00368875,0.00368875,0.00368875
53,12514.6,1.13052,0.76968,1.20451,0.93964,0.90765,0.94964,0.73091,0.90772,2.46727,0.95317,0.003565,0.003565,0.003565
54,12756.4,1.13179,0.76234,1.19899,0.93702,0.90779,0.94985,0.73105,0.90807,2.49683,0.9532,0.00344125,0.00344125,0.00344125
55,12998.7,1.12922,0.75137,1.2054,0.93989,0.90899,0.95024,0.73022,0.90726,2.50282,0.95314,0.0033175,0.0033175,0.0033175
56,13248.2,1.11514,0.7406,1.19359,0.94154,0.90683,0.94957,0.7299,0.90781,2.4594,0.95357,0.00319375,0.00319375,0.00319375
