epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4814.32,0.94855,0.68345,1.1827,0.8991,0.85862,0.90976,0.66333,0.93229,0.51482,1.1798,0.00492625,0.00492625,0.00492625
43,4928.77,0.93828,0.67779,1.18022,0.89179,0.85944,0.90621,0.66301,0.9312,0.51787,1.17498,0.0048025,0.0048025,0.0048025
44,5043,0.9405,0.67215,1.17888,0.90379,0.85981,0.91001,0.66503,0.93102,0.51708,1.16939,0.00467875,0.00467875,0.00467875
45,5157.53,0.93643,0.6642,1.17437,0.90261,0.85872,0.91075,0.66729,0.92638,0.511,1.1643,0.004555,0.004555,0.004555
46,5272.02,0.9287,0.66074,1.17022,0.90034,0.86351,0.91109,0.66804,0.92603,0.50648,1.15817,0.00443125,0.00443125,0.00443125
47,5386.39,0.92376,0.65346,1.16998,0.90315,0.86003,0.91032,0.66952,0.9248,0.50946,1.16342,0.0043075,0.0043075,0.0043075
48,5500.81,0.9179,0.6482,1.16465,0.90338,0.85827,0.90774,0.66779,0.93079,0.50729,1.17092,0.00418375,0.00418375,0.00418375
49,5615.05,0.91159,0.63922,1.1588,0.90969,0.86146,0.91147,0.66973,0.92966,0.51137,1.17076,0.00406,0.00406,0.00406
50,5729.37,0.90935,0.64104,1.16326,0.9064,0.86435,0.91244,0.67068,0.92344,0.50245,1.17665,0.00393625,0.00393625,0.00393625
51,5843.79,0.90968,0.62942,1.15648,0.90344,0.87244,0.9151,0.67356,0.92535,0.49692,1.17032,0.0038125,0.0038125,0.0038125
52,5958.2,0.90204,0.62829,1.15388,0.9066,0.86154,0.91401,0.67214,0.92882,0.49742,1.17346,0.00368875,0.00368875,0.00368875
53,6072.39,0.89082,0.6146,1.1466,0.90258,0.86738,0.9124,0.67014,0.93191,0.49739,1.17094,0.003565,0.003565,0.003565
54,6186.63,0.89407,0.61512,1.14525,0.91061,0.8671,0.91327,0.67305,0.92381,0.49512,1.1609,0.00344125,0.00344125,0.00344125
55,6300.93,0.88418,0.60915,1.14548,0.91276,0.8637,0.91403,0.67374,0.92459,0.4993,1.18028,0.0033175,0.0033175,0.0033175
